,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6064146041045616,0.6064146041045616,25781806.056628805,"[None, None]","[None, None]",0.006168242189226819,"[None, None]",25781806.056628805,0.6064146041045616
ZAMS,1.0,1.0,16534783.776548283,"[None, None]","[None, None]",0.003955911802929156,"[None, None]",25781806.056628805,0.6064146041045616
ZAMS_StellarMergerBeforeMT,0.03148917020277226,0.03148917020277226,520666.62060576637,"[None, None]","[None, None]",0.00012456838006959185,"[None, None]",25781806.056628805,0.6064146041045616
ZAMS_MT1,0.4860730122391613,0.4860730122391613,8037112.156990039,"[None, None]","[None, None]",0.001922861966202226,"[None, None]",25781806.056628805,0.6064146041045616
MT1_StellarMerger1,0.2218117850295555,0.4563342943228825,3667609.90455391,"[None, None]","[None, None]",0.0008774678584272032,"[None, None]",25781806.056628805,0.6064146041045616
ZAMS_SN1,0.4824378175580661,0.4824378175580661,7977004.998952472,"[None, None]","[None, None]",0.0019084814566573361,"[None, None]",25781806.056628805,0.6064146041045616
MT1_SN1,0.3244219410713209,0.6674345888425839,5364246.647982379,"[None, None]","[None, None]",0.0012833845858132252,"[None, None]",25781806.056628805,0.6064146041045616
SN1_Disbound1,0.5918588663379225,0.7335337523131814,9786258.38113054,"[None, None]","[None, None]",0.0023413414750144573,"[None, None]",25781806.056628805,0.6064146041045616
SN1_Survive1,0.1548401847071202,0.19190470593073963,2560248.9740530304,"[None, None]","[None, None]",0.0006125341142506273,"[None, None]",25781806.056628805,0.6064146041045616
SN1_MT2,0.07404709476187195,0.09177195165570746,1224352.7011691337,"[None, None]","[None, None]",0.0002929237761411029,"[None, None]",25781806.056628805,0.6064146041045616
MT2_StellarMerger2,0.03459772019953224,0.4672394009622532,572065.8226607826,"[None, None]","[None, None]",0.00013686552969177006,"[None, None]",25781806.056628805,0.6064146041045616
SN1_SN2,0.07093863403855143,0.08791941013275326,1172954.975231136,"[None, None]","[None, None]",0.00028062697967677755,"[None, None]",25781806.056628805,0.6064146041045616
MT2_SN2,0.03944960126058514,0.5327636605791369,652290.6269148218,"[None, None]","[None, None]",0.00015605914324759763,"[None, None]",25781806.056628805,0.6064146041045616
SN2_Disbound2,0.055964715702642866,0.5069807987326407,925364.4732591962,"[None, None]","[None, None]",0.00022139147939565954,"[None, None]",25781806.056628805,0.6064146041045616
SN2_Survive2,0.05442337429362628,0.49301788497792975,899878.7263352667,"[None, None]","[None, None]",0.0002152940687233874,"[None, None]",25781806.056628805,0.6064146041045616
SN2_DCO,0.05418451628915743,0.490854085513054,895929.2608780764,"[None, None]","[None, None]",0.00021434916752428496,"[None, None]",25781806.056628805,0.6064146041045616
DCO_Merges,0.008024942762400239,0.14810398453268223,132690.69339546404,"[None, None]","[None, None]",3.174596579161001e-05,"[None, None]",25781806.056628805,0.6064146041045616
DCO_NoMerger,0.04615957352675707,0.8518960154673156,763238.5674826105,"[None, None]","[None, None]",0.0001826032017326745,"[None, None]",25781806.056628805,0.6064146041045616
